2025-07-31 09:57:53 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: PUT | Confidence: 65% | Entry: 1.150023817246516 | Expiration: 5min | Risk: MEDIUM | ID: EUR/USD_1753955873
2025-07-31 09:58:09 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: CALL | Confidence: 65% | Entry: 1.1499249213119236 | Expiration: 5min | Risk: MEDIUM | ID: EUR/USD_1753955889
2025-07-31 10:01:41 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: CAD/JPY | Direction: CALL | Confidence: 88.6% | Entry: 107.91775458593439 | Expiration: 5min | Risk: LOW | ID: CAD/JPY_1753956101
2025-07-31 10:04:53 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: PUT | Confidence: 65% | Entry: 1.1500272804136547 | Expiration: 5min | Risk: MEDIUM | ID: EUR/USD_1753956293
2025-07-31 10:06:09 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: PUT | Confidence: 65% | Entry: 1.1500131439528913 | Expiration: 27min | Risk: MEDIUM | ID: EUR/USD_1753956369
2025-07-31 10:15:15 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/JPY | Direction: CALL | Confidence: 94.4% | Entry: 170.7766424724678 | Expiration: 5min | Risk: LOW | ID: EUR/JPY_1753956915
2025-07-31 10:15:18 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: PUT | Confidence: 65% | Entry: 1.1499748390899989 | Expiration: 1min | Risk: MEDIUM | ID: EUR/USD_1753956918
2025-07-31 10:16:42 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: CALL | Confidence: 65% | Entry: 1.1499333944716974 | Expiration: 5min | Risk: MEDIUM | ID: EUR/USD_1753957002
2025-07-31 10:16:53 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: CALL | Confidence: 65% | Entry: 1.1499208600692516 | Expiration: 1min | Risk: MEDIUM | ID: EUR/USD_1753957013
2025-07-31 10:17:23 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/USD | Direction: CALL | Confidence: 65% | Entry: 0.6460333573421386 | Expiration: 1min | Risk: MEDIUM | ID: AUD/USD_1753957043
2025-07-31 10:18:40 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/USD | Direction: PUT | Confidence: 69.3% | Entry: 0.6460330179593282 | Expiration: 5min | Risk: MEDIUM | ID: AUD/USD_1753957120
2025-07-31 10:19:23 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/USD | Direction: CALL | Confidence: 65% | Entry: 0.6460573881911621 | Expiration: 1min | Risk: MEDIUM | ID: AUD/USD_1753957163
2025-07-31 10:19:30 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/USD | Direction: PUT | Confidence: 65% | Entry: 0.6460020703533145 | Expiration: 5min | Risk: MEDIUM | ID: AUD/USD_1753957170
2025-07-31 10:20:41 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/USD | Direction: PUT | Confidence: 65% | Entry: 0.646021867887975 | Expiration: 5min | Risk: MEDIUM | ID: AUD/USD_1753957241
2025-07-31 10:21:48 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/USD | Direction: PUT | Confidence: 68.9% | Entry: 0.6460248745274845 | Expiration: 1min | Risk: MEDIUM | ID: AUD/USD_1753957308
2025-07-31 10:22:12 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/USD | Direction: CALL | Confidence: 65% | Entry: 0.6460111836239432 | Expiration: 1min | Risk: MEDIUM | ID: AUD/USD_1753957332
2025-07-31 10:22:51 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/USD | Direction: PUT | Confidence: 65% | Entry: 0.6459482458047542 | Expiration: 1min | Risk: MEDIUM | ID: AUD/USD_1753957371
2025-07-31 10:24:08 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/USD | Direction: PUT | Confidence: 65% | Entry: 0.645968800539653 | Expiration: 30min | Risk: MEDIUM | ID: AUD/USD_1753957448
2025-07-31 10:24:24 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/USD | Direction: CALL | Confidence: 65% | Entry: 0.6459868888015458 | Expiration: 1min | Risk: MEDIUM | ID: AUD/USD_1753957464
2025-07-31 10:24:33 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/USD | Direction: PUT | Confidence: 70.9% | Entry: 0.6460349098020521 | Expiration: 5min | Risk: LOW | ID: AUD/USD_1753957473
2025-07-31 10:24:42 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/USD | Direction: PUT | Confidence: 65% | Entry: 0.6459900029389193 | Expiration: 30min | Risk: MEDIUM | ID: AUD/USD_1753957482
2025-07-31 10:26:37 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/CHF | Direction: PUT | Confidence: 68.0% | Entry: 0.9300028857112258 | Expiration: 5min | Risk: MEDIUM | ID: EUR/CHF_1753957597
2025-07-31 10:26:48 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/CHF | Direction: PUT | Confidence: 65% | Entry: 0.929951633736536 | Expiration: 5min | Risk: MEDIUM | ID: EUR/CHF_1753957608
